marketer31,consignee11,description21,order_no211,scheduled_delivery_on21,TextBox12,TextBox18,version_no211,TextBox271,TextBox274
"","","Avocado Hass Premium 23 Tray","3889534","06/30/2026 00:00:00","160","34.500000","1","160","34.500000"
"","","","","","","","2","160","34.500000"
"","","","3889535","07/01/2026 00:00:00","159","34.500000","1","160","34.500000"
"","","","","","","","2","159","34.500000"
"","","","","","","","3","159","34.500000"
"","","","3889536","07/02/2026 00:00:00","46","34.500000","1","160","34.500000"
"","","","","","","","2","46","34.500000"
"","","","","","","","3","46","34.500000"
"","","","","","","","4","46","34.500000"
"","","","","","","","5","46","34.500000"
"","","","3889537","07/03/2026 00:00:00","160","34.500000","1","160","34.500000"
"","","","3889538","07/04/2026 00:00:00","120","34.500000","1","320","34.500000"
"","","","","","","","2","120","34.500000"
"","","","","","","","3","120","34.500000"
"","","","3889539","07/05/2026 00:00:00","160","34.500000","1","160","34.500000"
"","","","3889540","07/06/2026 00:00:00","320","34.500000","1","320","34.500000"
"","","AvocadoHassClass 1Coles Returnable Crates5 Pack","3889534","06/30/2026 00:00:00","72","48.000000","1","72","48.000000"
"","","","","","","","2","72","48.000000"
"","","","","","","","3","72","48.000000"
"","","","","","","","4","72","48.000000"
"","","","","","","","5","72","48.000000"
"","","","","","","","6","72","48.000000"
"","","","","","","","7","72","48.000000"
"","","","3889535","07/01/2026 00:00:00","72","48.000000","1","72","48.000000"
"","","","","","","","2","72","48.000000"
"","","","","","","","3","72","48.000000"
"","","","3889536","07/02/2026 00:00:00","72","48.000000","1","72","48.000000"
"","","","","","","","2","72","48.000000"
"","","","","","","","3","72","48.000000"
"","","","","","","","4","72","48.000000"
"","","","","","","","5","72","48.000000"
"","","","3889537","07/03/2026 00:00:00","72","48.000000","1","72","48.000000"
"","","","","","","","2","72","48.000000"
"","","","","","","","3","72","48.000000"
"","","","3889540","07/06/2026 00:00:00","72","48.000000","1","72","48.000000"
"","","","","","","","2","72","48.000000"
"","","","","","","","3","72","48.000000"
"","","Kids Packs - Coles","3889534","06/30/2026 00:00:00","264","37.000000","1","660","37.000000"
"","","","","","","","2","396","37.000000"
"","","","","","","","3","396","37.000000"
"","","","","","","","4","396","37.000000"
"","","","","","","","5","396","37.000000"
"","","","","","","","6","462","37.000000"
"","","","","","","","7","264","37.000000"
"","","","3889535","07/01/2026 00:00:00","396","37.000000","1","396","37.000000"
"","","","","","","","2","396","37.000000"
"","","","","","","","3","396","37.000000"
"","","","3889536","07/02/2026 00:00:00","396","37.000000","1","396","37.000000"
"","","","","","","","2","396","37.000000"
"","","","","","","","3","396","37.000000"
"","","","","","","","4","396","37.000000"
"","","","","","","","5","396","37.000000"
"","","","3889537","07/03/2026 00:00:00","660","37.000000","1","660","37.000000"
"","","","","","","","2","660","37.000000"
"","","","","","","","3","660","37.000000"
"","","","3889538","07/04/2026 00:00:00","594","37.000000","1","594","37.000000"
"","","","","","","","2","594","37.000000"
"","","","","","","","3","594","37.000000"
"","","","3889539","07/05/2026 00:00:00","330","37.000000","1","330","37.000000"
"","","","","","","","2","330","37.000000"
"","","","","","","","3","330","37.000000"
"","","","3889540","07/06/2026 00:00:00","330","37.000000","1","330","37.000000"
"","","","","","","","2","330","37.000000"
"","","","","","","","3","330","37.000000"
"","","PassionfruitPanamaPremium 405kg Carton","3889223","07/02/2026 00:00:00","48","42.000000","2","48","42.000000"
"","","","3889224","07/03/2026 00:00:00","48","42.000000","2","48","42.000000"
"","","PassionfruitPanamaPremium 505kg Carton","3889223","07/02/2026 00:00:00","48","42.000000","1","48","42.000000"
"","","","3889224","07/03/2026 00:00:00","48","42.000000","1","48","42.000000"
"","","Ruby Rise Tray 6","3889208","06/30/2026 00:00:00","104","20.000000","1","104","20.000000"
"","","","3889209","07/01/2026 00:00:00","104","20.000000","1","104","20.000000"
"","","","3889220","07/03/2026 00:00:00","104","20.000000","1","104","20.000000"
"","","","3889219","07/04/2026 00:00:00","104","20.000000","1","104","20.000000"
"","","","3889210","07/06/2026 00:00:00","104","20.000000","1","104","20.000000"
"","Coles Parkinson","PassionfruitPanamaPremium 405kg Carton","4864027","06/30/2026 00:00:00","48","40.000000","2","48","40.000000"
"","","","4863918","07/06/2026 00:00:00","48","40.000000","2","48","40.000000"
"","","PassionfruitPanamaPremium 505kg Carton","4864027","06/30/2026 00:00:00","48","40.000000","1","48","40.000000"
"","","","4863918","07/06/2026 00:00:00","48","40.000000","1","48","40.000000"
"","","Ruby Rise Tray 6","4863899","07/02/2026 00:00:00","104","21.000000","1","104","21.000000"
"","","","4863900","07/05/2026 00:00:00","104","21.000000","1","104","21.000000"
"","","Ruby Rise Tray 7","4864408","07/01/2026 00:00:00","104","24.500000","1","104","24.500000"
"","Coles South Australia","15kg Ripes","5591444","07/02/2026 00:00:00","660","45.120000","1","660","45.120000"
"","","","","","","","2","660","45.120000"
"","","","5591445","07/03/2026 00:00:00","1020","45.120000","1","1020","45.120000"
"","","","5591446","07/04/2026 00:00:00","720","45.120000","1","720","45.120000"
"","","","5591447","07/05/2026 00:00:00","540","45.120000","1","540","45.120000"
"","","","5591448","07/06/2026 00:00:00","540","45.120000","1","540","45.120000"
"","","15kg Semi Ripe","5591442","06/30/2026 00:00:00","60","45.120000","1","180","45.120000"
"","","","","","","","3","60","45.120000"
"","","","5591443","07/01/2026 00:00:00","240","45.120000","2","180","45.120000"
"","","","","","","","3","240","45.120000"
"","","","","","","","4","240","45.120000"
"","","","5591444","07/02/2026 00:00:00","180","45.120000","1","180","45.120000"
"","","","","","","","2","180","45.120000"
"","","","5591445","07/03/2026 00:00:00","180","45.120000","1","180","45.120000"
"","","","5591446","07/04/2026 00:00:00","180","45.120000","1","180","45.120000"
"","","","5591447","07/05/2026 00:00:00","180","45.120000","1","180","45.120000"
"","","","5591448","07/06/2026 00:00:00","180","45.120000","1","180","45.120000"
"","","Kids Packs - Coles","5591442","06/30/2026 00:00:00","132","38.850000","1","66","38.850000"
"","","","","","","","2","66","38.850000"
"","","","","","","","3","132","38.850000"
"","","","","","","","4","132","38.850000"
"","","","5591443","07/01/2026 00:00:00","198","38.850000","1","132","38.850000"
"","","","","","","","2","132","38.850000"
"","","","","","","","3","132","38.850000"
"","","","","","","","4","198","38.850000"
"","","","5591444","07/02/2026 00:00:00","132","38.850000","1","66","38.850000"
"","","","","","","","2","132","38.850000"
"","","","5591445","07/03/2026 00:00:00","132","38.850000","1","132","38.850000"
"","","","5591446","07/04/2026 00:00:00","132","38.850000","1","132","38.850000"
"","","","5591447","07/05/2026 00:00:00","132","38.850000","1","132","38.850000"
"","","","5591448","07/06/2026 00:00:00","66","38.850000","1","66","38.850000"
"","Coles Tasmania","Kids Packs - Coles","7279385","06/30/2026 00:00:00","66","38.000000","1","66","38.000000"
"","","","7279386","07/01/2026 00:00:00","66","38.000000","1","66","38.000000"
"","","","7279390","07/02/2026 00:00:00","66","38.000000","1","66","38.000000"
"","","","7279387","07/03/2026 00:00:00","66","38.000000","1","66","38.000000"
"","","","7279388","07/04/2026 00:00:00","132","38.000000","1","132","38.000000"
"","","","7279389","07/05/2026 00:00:00","132","38.000000","1","66","38.000000"
"","","","","","","","2","132","38.000000"
"","Coles Townsville","15kg Ripes","1214635","06/30/2026 00:00:00","360","40.380000","1","240","40.380000"
"","","","","","","","2","300","40.380000"
"","","","","","","","3","360","40.380000"
"","","","","","","","4","360","40.380000"
"","","","","","","","5","360","40.380000"
"","","","1214554","07/01/2026 00:00:00","330","40.380000","1","240","40.380000"
"","","","","","","","2","330","40.380000"
"","","","","","","","3","330","40.380000"
"","","","","","","","4","330","40.380000"
"","","","1214636","07/02/2026 00:00:00","300","40.380000","1","300","40.380000"
